[  107949ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_RESET @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_compiled_0ofjk5z._.js:0
[  107950ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_RESET @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_client_0qh0bsw._.js:0
[  107950ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_RESET @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_compiled_react-server-dom-turbopack_0id_qfn._.js:0
[  107951ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_RESET @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_compiled_react-dom_02kr-3q._.js:0
[  107953ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_RESET @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_compiled_next-devtools_index_10jaigh.js:0
[  117806ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_0v7z86-._.js:2431
[  117874ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_0v7z86-._.js:2431
[ 1163574ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=3kOIdv4Cc7bZIfumCIz9p' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_client_0qh0bsw._.js:13307
[ 1166923ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=3kOIdv4Cc7bZIfumCIz9p' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_client_0qh0bsw._.js:13307
[ 1170272ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=3kOIdv4Cc7bZIfumCIz9p' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_client_0qh0bsw._.js:13307
[ 1173613ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=3kOIdv4Cc7bZIfumCIz9p' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_client_0qh0bsw._.js:13307
[ 1176961ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=3kOIdv4Cc7bZIfumCIz9p' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_client_0qh0bsw._.js:13307
[ 1184331ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=3kOIdv4Cc7bZIfumCIz9p' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_client_0qh0bsw._.js:13307
[ 1191740ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=3kOIdv4Cc7bZIfumCIz9p' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_client_0qh0bsw._.js:13307
[ 1199117ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=3kOIdv4Cc7bZIfumCIz9p' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_client_0qh0bsw._.js:13307
[ 1206507ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=3kOIdv4Cc7bZIfumCIz9p' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_client_0qh0bsw._.js:13307
[ 1213914ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=3kOIdv4Cc7bZIfumCIz9p' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_client_0qh0bsw._.js:13307
[ 1221347ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=3kOIdv4Cc7bZIfumCIz9p' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_client_0qh0bsw._.js:13307
[ 1228850ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=3kOIdv4Cc7bZIfumCIz9p' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0z_g_next_dist_client_0qh0bsw._.js:13307
